"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
562,"Cijk_Alik_Bljk_SB_MT64x32x64_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR8_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVWn1_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA256_LBSPPB256_LPA4_LPB4_LDL1_LRVW1_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD3_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR17_PKA0_SIA3_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO1_SRVW0_SSO0_SVW1_SNLL0_TSGRA0_TSGRB0_TT2_16_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM32.kd",1,0,747,8831,8831,12582912,256,58880,0,128,136,80,64,"0x0","0x7b2b0e149b40",2657068865555,2657068990719,2657069399691,2657069388369,408972
563,"softmax_forward_kernel5(float*, float, float const*, int, int) [clone .kd]",1,0,748,8831,8831,3145728,256,0,64,44,4,48,64,"0x0","0x7b3401f05440",2657068872215,2657069399691,2657069545223,2657069532033,145532
564,"Cijk_Ailk_Bljk_SB_MT32x32x64_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT3128_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVW4_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA0_LBSPPB256_LPA16_LPB4_LDL1_LRVW1_LWPMn1_LDW0_FMA_MIAV1_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD2_NEPBS4_NLCA1_NLCB1_ONLL2_OPLV0_PK0_PAP0_PGR2_PLR9_PKA0_SIA3_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO4_SVW1_SNLL0_TSGRA0_TSGRB0_TT1_32_TLDS1_UMLDSA0_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA1_WSGRB1_WS64_WG32_4_2_WGM16.kd",1,0,749,8831,8831,1572864,256,53760,0,64,0,64,64,"0x0","0x7b2b0d512580",2657068881097,2657069545223,2657069784769,2657069771694,239546
565,"unpermute_kernel(float const*, float*, int, int, int, int) [clone .kd]",1,0,750,8831,8831,6291456,32,0,0,12,4,32,64,"0x0","0x7b3401f05540",2657068885325,2657069784769,2657069896063,2657069883369,111294
566,"__amd_rocclr_fillBufferAligned.kd",1,0,752,8831,8831,77824,256,0,0,12,4,48,64,"0x0","0x7b340229b580",2657069892323,2657069914265,2657069917111,2657069904268,2846
567,"permute_kernel(float*, float*, float*, float const*, int, int, int, int) [clone .kd]",1,0,754,8831,8831,6291456,32,0,0,12,4,32,64,"0x0","0x7b3401f05500",2657069899747,2657069922764,2657070035140,2657070023324,112376
568,"Cijk_Alik_Bljk_SB_MT64x32x64_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR8_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVWn1_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA256_LBSPPB256_LPA4_LPB4_LDL1_LRVW1_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD3_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR17_PKA0_SIA3_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO1_SRVW0_SSO0_SVW1_SNLL0_TSGRA0_TSGRB0_TT2_16_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM32.kd",1,0,755,8831,8831,12582912,256,58880,0,128,136,80,64,"0x0","0x7b2b0e149b40",2657069911882,2657070035140,2657070440304,2657070427454,405164
569,"softmax_forward_kernel5(float*, float, float const*, int, int) [clone .kd]",1,0,756,8831,8831,3145728,256,0,64,44,4,48,64,"0x0","0x7b3401f05440",2657069916818,2657070440304,2657070584192,2657070571880,143888
570,"Cijk_Ailk_Bljk_SB_MT32x32x64_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT3128_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVW4_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA0_LBSPPB256_LPA16_LPB4_LDL1_LRVW1_LWPMn1_LDW0_FMA_MIAV1_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD2_NEPBS4_NLCA1_NLCB1_ONLL2_OPLV0_PK0_PAP0_PGR2_PLR9_PKA0_SIA3_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO4_SVW1_SNLL0_TSGRA0_TSGRB0_TT1_32_TLDS1_UMLDSA0_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA1_WSGRB1_WS64_WG32_4_2_WGM16.kd",1,0,757,8831,8831,1572864,256,53760,0,64,0,64,64,"0x0","0x7b2b0d512580",2657069924603,2657070584192,2657070833160,2657070820303,248968
571,"unpermute_kernel(float const*, float*, int, int, int, int) [clone .kd]",1,0,758,8831,8831,6291456,32,0,0,12,4,32,64,"0x0","0x7b3401f05540",2657069929038,2657070833160,2657070941527,2657070928540,108367
572,"__amd_rocclr_fillBufferAligned.kd",1,0,760,8831,8831,77824,256,0,0,12,4,48,64,"0x0","0x7b340229b580",2657070937460,2657070959287,2657070962014,2657070949634,2727
573,"permute_kernel(float*, float*, float*, float const*, int, int, int, int) [clone .kd]",1,0,762,8831,8831,6291456,32,0,0,12,4,32,64,"0x0","0x7b3401f05500",2657070945010,2657070967506,2657071076314,2657071064071,108808
574,"Cijk_Alik_Bljk_SB_MT64x32x64_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR8_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVWn1_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA256_LBSPPB256_LPA4_LPB4_LDL1_LRVW1_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD3_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR17_PKA0_SIA3_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO1_SRVW0_SSO0_SVW1_SNLL0_TSGRA0_TSGRB0_TT2_16_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM32.kd",1,0,763,8831,8831,12582912,256,58880,0,128,136,80,64,"0x0","0x7b2b0e149b40",2657070957815,2657071076314,2657071475745,2657071463312,399431
575,"softmax_forward_kernel5(float*, float, float const*, int, int) [clone .kd]",1,0,764,8831,8831,3145728,256,0,64,44,4,48,64,"0x0","0x7b3401f05440",2657070963309,2657071475745,2657071621838,2657071609409,146093
576,"Cijk_Ailk_Bljk_SB_MT32x32x64_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT3128_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVW4_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA0_LBSPPB256_LPA16_LPB4_LDL1_LRVW1_LWPMn1_LDW0_FMA_MIAV1_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD2_NEPBS4_NLCA1_NLCB1_ONLL2_OPLV0_PK0_PAP0_PGR2_PLR9_PKA0_SIA3_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO4_SVW1_SNLL0_TSGRA0_TSGRB0_TT1_32_TLDS1_UMLDSA0_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA1_WSGRB1_WS64_WG32_4_2_WGM16.kd",1,0,765,8831,8831,1572864,256,53760,0,64,0,64,64,"0x0","0x7b2b0d512580",2657070971370,2657071621838,2657071872089,2657071858864,250251
577,"unpermute_kernel(float const*, float*, int, int, int, int) [clone .kd]",1,0,766,8831,8831,6291456,32,0,0,12,4,32,64,"0x0","0x7b3401f05540",2657070975867,2657071872089,2657071980576,2657071967896,108487
578,"__amd_rocclr_fillBufferAligned.kd",1,0,768,8831,8831,77824,256,0,0,12,4,48,64,"0x0","0x7b340229b580",2657071978953,2657072001223,2657072003869,2657071991244,2646
579,"permute_kernel(float*, float*, float*, float const*, int, int, int, int) [clone .kd]",1,0,770,8831,8831,6291456,32,0,0,12,4,32,64,"0x0","0x7b3401f05500",2657071986803,2657072009442,2657072118370,2657072106561,108928
